Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Czech Republic,CZE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024296913,0.060364085,0.149235374,0.338798117,2.304774705,6.912180314,10.80242448,14.45053834,16.87809213,19.413424,21.46040086,23.7457622,25.11016376,26.97925752,28.27672043,27.79469536,28.91055035,29.56565123,30.21688169,
Germany,DEU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325549298,2.578145904,3.93082137,5.476975994,8.573548443,13.21867362,18.38319724,24.3010917,28.01446411,30.85860573,32.3678342,33.7108193,34.52611171,35.2844895,36.30777257,37.54542249,38.76437445,40.21768674,41.11294951,
Djibouti,DJI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000557426,0.000682114,0.000803275,,,0.005362245,0.019130012,0.135576218,0.300235926,0.638421498,0.95905965,1.323924589,1.717125292,2.004431146,2.236798914,2.643893334,2.61270977,2.583309589,2.660067597,
Dominica,DMA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114860014,0.251216606,3.204605009,3.781740371,4.621920377,4.816614487,6.080488702,7.062645667,9.883236619,10.30331259,11.72578233,11.71385865,11.9777355,15.02055875,15.17197721,21.29581501,21.71876534,21.58330768,16.07539267,
Denmark,DNK,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.254401169,4.441904554,8.399659693,13.33401275,18.83470322,24.78658916,31.87409699,34.80015525,36.48199102,36.6009227,38.02817865,38.38895657,38.84481696,40.3040539,41.34318445,42.27616351,43.09670097,43.82182359,44.05932693,
Dominican Republic,DOM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169485455,0.415145495,0.66694829,1.115994188,1.860526675,2.528188876,3.295412623,4.02785071,4.319880618,4.86989317,5.241767905,5.902461372,6.673102061,7.379997251,7.480740227,7.478850615,
Algeria,DZA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055789463,0.110118134,0.40724321,0.505335721,0.840106639,1.39646274,2.315058456,2.501566606,2.675159149,3.08889162,3.35604493,4.109815688,5.712209454,7.051711073,7.756293558,7.262935415,
East Asia & Pacific (excluding high income),EAP,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00177489,0.021804174,0.195617989,0.632716825,1.399985673,2.053153937,2.80600015,3.714154617,4.655935832,5.879388047,7.336652345,8.62643698,9.874859901,10.58845327,11.1841421,14.70581221,16.9805106,20.53514413,21.40874181,
Early-demographic dividend,EAR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019588379,0.053423755,0.105661121,0.206868108,0.36389411,0.560773023,0.812685899,1.142082874,1.478307616,1.751691059,2.033107861,2.354730108,2.51230327,2.733279375,3.144471528,3.458014981,3.689490771,4.230361074,
East Asia & Pacific,EAS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321039362,0.739899878,1.372659037,2.097007501,3.109127748,3.919806627,4.92432469,5.751167275,6.896632757,8.145584176,9.658559689,10.81741512,12.05172146,12.76565218,13.38743719,16.48928793,18.61584064,21.86988189,22.6849008,
Europe & Central Asia (excluding high income),ECA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018716332,0.240872633,0.444857689,1.032523032,2.117121902,3.620811546,5.574611785,7.176080201,8.812528379,9.955445546,11.45394414,12.8538549,13.46394964,14.76796272,15.51109882,17.03592287,18.60299069,
