Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bosnia and Herzegovina,BIH,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3258267908,4026571922,8192630814,11413939745,17023102977,18274448005,18888060741,19514185098,20787221291,21501776673,24455947851,25415438267,28737587660,31726912359,35149273984,35036804402,35200567408,36818781127,37436095351,39547149995,40137092563,41479276707,43483587546,45866697752,48467618797,
Belarus,BLR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55319352228,56503838684,52243523689,49416737947,44481588728,40620343519,42589056801,48073522169,52692207632,55417337416,59929813931,64109648059,68557213247,75000898339,85812437785,96874116606,1.09245E+11,1.21097E+11,1.3551E+11,1.3558E+11,1.4834E+11,1.59291E+11,1.64759E+11,1.67062E+11,1.74046E+11,1.66909E+11,1.6407E+11,1.72914E+11,1.82462E+11,
Belize,BLZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599805157.4,690132335.1,784751766.3,849992529,859654675.2,890453520.9,915155916.6,969458369.9,1005448931,1100061741,1259254321,1332183713,1429540462,1561046489,1640677762,1750345177,1885496647,1913340370,2019230696,2171267084,2191271049,2371913653,2455432424,2529139091,2642290277,2854169617,2850890984,2873161341,2992485221,
Bermuda,BMU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577892878,1570309444,1593402266,1680102376,1726266062,1840012434,,,,,,,,,,,,4874709604,4883611564,4493986662,4486492134,4397668042,4353813540,4342781779,,,,,,
Bolivia,BOL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15651839673,17120319690,18007743045,19203984590,20644323105,22057467151,23504314184,25180758738,26901305710,27277873130,28494081306,29637361230,30855817219,31901445380,33896900159,36667595011,39784109143,42601726576,46346675902,47934038028,50224913701,53690570380,56814938210,61604956110,66958022394,72255687973,77411130760,81356383848,87131766927,
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73374E+11,1.02588E+12,1.04815E+12,1.11677E+12,1.18512E+12,1.29326E+12,1.32953E+12,1.39124E+12,1.39371E+12,1.40852E+12,1.54037E+12,1.59E+12,1.66261E+12,1.71602E+12,1.86794E+12,1.98911E+12,2.13902E+12,2.33884E+12,2.4974E+12,2.51944E+12,2.72041E+12,2.89746E+12,3.02466E+12,3.19996E+12,3.25123E+12,3.16368E+12,3.09488E+12,3.1948E+12,3.32041E+12,
Barbados,BRB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449233268,2440383918,2366129181,2429299751,2526591014,2618818704,2763832274,2960383962,3106202928,3145735518,3352137928,3328473500,3399401083,3525454842,3700769628,3919169348,4152330333,4483049752,4556823374,4426761387,4448005439,4324432732,4575625228,4459561519,4510634511,4599980220,4575863406,4665316372,4667897110,
Brunei Darussalam,BRN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14219219969,15162535120,16246039709,16681607298,17573730028,18745801085,19638485783,19683232219,19793601111,20692236087,21757595387,22844964797,24104889135,25265534701,26076585575,26993052436,29032919656,30011036246,29962287096,29689532349,30442433958,31606484313,32602767794,32900229822,33072481872,34940106628,35202474519,35880244129,35252187280,
Bhutan,BTN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760343097.9,762596554.6,792173524,836872675.7,924794553.9,958263199.9,1043840209,1150799450,1146939011,1224648483,1558874181,1728718850,1917677005,2089896487,2271907773,2537350424,2827019792,3397680146,3573478651,3787794840,4213557421,4605085735,4850916362,5092962749,5417632667,5885052528,6324888682,6713224811,6980310102,
Botswana,BWA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6900807900,8012238906,8526506373,9272342152,8684035449,9948424983,10231603083,11552475793,12384475458,12799462784,13163199317,14000573202,13485607281,14917031258,15527131343,17171389707,19334145526,21702666739,23483010755,22912336628,24654325590,28287461044,30328944490,32793112048,34939665420,34938571824,35957995379,37913095469,40572833197,
